"dest" "file" "sensor" "processing_level" "path_row" "scene_date" "year" "julian_day"
"1" "./qa_S30MB1HA/LC08_L1GT_220074_20141130_20170417_01_T2_LAFirAv1_qa_S30MB1HA.tif" "LC08_L1GT_220074_20141130_20170417_01_T2_LAFirAv1_qa_S30MB1HA.tif" "LC08" "L1GT" "220074" "16404" "2014" "334"
"2" "./qa_S30MB1HA/LC08_L1GT_220075_20131127_20170428_01_T2_LAFirAv1_qa_S30MB1HA.tif" "LC08_L1GT_220075_20131127_20170428_01_T2_LAFirAv1_qa_S30MB1HA.tif" "LC08" "L1GT" "220075" "16036" "2013" "331"
"3" "./qa_S30MB1HA/LC08_L1GT_220075_20141130_20170417_01_T2_LAFirAv1_qa_S30MB1HA.tif" "LC08_L1GT_220075_20141130_20170417_01_T2_LAFirAv1_qa_S30MB1HA.tif" "LC08" "L1GT" "220075" "16404" "2014" "334"
"4" "./qa_S30MB1HA/LC08_L1GT_220075_20170514_20170525_01_T2_LAFirAv1_qa_S30MB1HA.tif" "LC08_L1GT_220075_20170514_20170525_01_T2_LAFirAv1_qa_S30MB1HA.tif" "LC08" "L1GT" "220075" "17300" "2017" "134"
"5" "./qa_S30MB1HA/LC08_L1GT_220076_20160831_20170321_01_T2_LAFirAv1_qa_S30MB1HA.tif" "LC08_L1GT_220076_20160831_20170321_01_T2_LAFirAv1_qa_S30MB1HA.tif" "LC08" "L1GT" "220076" "17044" "2016" "244"
"6" "./qa_S30MB1HA/LC08_L1GT_220077_20130924_20170502_01_T2_LAFirAv1_qa_S30MB1HA.tif" "LC08_L1GT_220077_20130924_20170502_01_T2_LAFirAv1_qa_S30MB1HA.tif" "LC08" "L1GT" "220077" "15972" "2013" "267"
"7" "./qa_S30MB1HA/LC08_L1GT_220077_20150322_20170411_01_T2_LAFirAv1_qa_S30MB1HA.tif" "LC08_L1GT_220077_20150322_20170411_01_T2_LAFirAv1_qa_S30MB1HA.tif" "LC08" "L1GT" "220077" "16516" "2015" "81"
"8" "./qa_S30MB1HA/LC08_L1GT_220077_20170207_20170216_01_T2_LAFirAv1_qa_S30MB1HA.tif" "LC08_L1GT_220077_20170207_20170216_01_T2_LAFirAv1_qa_S30MB1HA.tif" "LC08" "L1GT" "220077" "17204" "2017" "38"
"9" "./qa_S30MB1HA/LC08_L1GT_221074_20171231_20180103_01_T2_LAFirAv1_qa_S30MB1HA.tif" "LC08_L1GT_221074_20171231_20180103_01_T2_LAFirAv1_qa_S30MB1HA.tif" "LC08" "L1GT" "221074" "17531" "2017" "365"
"10" "./qa_S30MB1HA/LC08_L1GT_221075_20141223_20170416_01_T2_LAFirAv1_qa_S30MB1HA.tif" "LC08_L1GT_221075_20141223_20170416_01_T2_LAFirAv1_qa_S30MB1HA.tif" "LC08" "L1GT" "221075" "16427" "2014" "357"
