"Var1" "Var2" "Freq"
"1" "219076" "L1GS" 14
"2" "220074" "L1GS" 28
"3" "220075" "L1GS" 39
"4" "220076" "L1GS" 39
"5" "220077" "L1GS" 40
"6" "221074" "L1GS" 37
"7" "221075" "L1GS" 27
"8" "221076" "L1GS" 29
"9" "222076" "L1GS" 50
"10" "219076" "L1GT" 0
"11" "220074" "L1GT" 1
"12" "220075" "L1GT" 3
"13" "220076" "L1GT" 1
"14" "220077" "L1GT" 3
"15" "221074" "L1GT" 1
"16" "221075" "L1GT" 2
"17" "221076" "L1GT" 4
"18" "222076" "L1GT" 4
"19" "219076" "L1TP" 415
"20" "220074" "L1TP" 425
"21" "220075" "L1TP" 427
"22" "220076" "L1TP" 397
"23" "220077" "L1TP" 305
"24" "221074" "L1TP" 429
"25" "221075" "L1TP" 433
"26" "221076" "L1TP" 404
"27" "222076" "L1TP" 398
